0, 75, cpu
75, 1, switch to kernel mode
76, 20, context saved
96, 1, find vector 5 in memory position 0x000A
97, 1, load address 0X048B into the PC
98, 200, execute interrupt service routine
298, 1, execute interrupt return
299, 84, cpu
383, 211, end of I/O 5: interrupt
594, 1, switch to kernel mode
595, 20, context saved
615, 1, find vector 5 in memory position 0x000A
616, 1, load address 0X048B into the PC
617, 200, execute interrupt service routine
817, 1, execute interrupt return
818, 22, cpu
840, 1, switch to kernel mode
841, 20, context saved
861, 1, find vector 10 in memory position 0x0014
862, 1, load address 0X07B0 into the PC
863, 200, execute interrupt service routine
1063, 1, execute interrupt return
1064, 80, cpu
1144, 564, end of I/O 10: interrupt
1708, 1, switch to kernel mode
1709, 20, context saved
1729, 1, find vector 10 in memory position 0x0014
1730, 1, load address 0X07B0 into the PC
1731, 200, execute interrupt service routine
1931, 1, execute interrupt return
1932, 79, cpu
2011, 1, switch to kernel mode
2012, 20, context saved
2032, 1, find vector 6 in memory position 0x000C
2033, 1, load address 0X0639 into the PC
2034, 200, execute interrupt service routine
2234, 1, execute interrupt return
2235, 68, cpu
2303, 265, end of I/O 6: interrupt
2568, 1, switch to kernel mode
2569, 20, context saved
2589, 1, find vector 6 in memory position 0x000C
2590, 1, load address 0X0639 into the PC
2591, 200, execute interrupt service routine
2791, 1, execute interrupt return
2792, 71, cpu
2863, 1, switch to kernel mode
2864, 20, context saved
2884, 1, find vector 4 in memory position 0x0008
2885, 1, load address 0X0292 into the PC
2886, 200, execute interrupt service routine
3086, 1, execute interrupt return
3087, 97, cpu
3184, 250, end of I/O 4: interrupt
3434, 1, switch to kernel mode
3435, 20, context saved
3455, 1, find vector 4 in memory position 0x0008
3456, 1, load address 0X0292 into the PC
3457, 200, execute interrupt service routine
3657, 1, execute interrupt return
3658, 84, cpu
3742, 1, switch to kernel mode
3743, 20, context saved
3763, 1, find vector 7 in memory position 0x000E
3764, 1, load address 0X00BD into the PC
3765, 200, execute interrupt service routine
3965, 1, execute interrupt return
3966, 38, cpu
4004, 152, end of I/O 7: interrupt
4156, 1, switch to kernel mode
4157, 20, context saved
4177, 1, find vector 7 in memory position 0x000E
4178, 1, load address 0X00BD into the PC
4179, 200, execute interrupt service routine
4379, 1, execute interrupt return
4380, 90, cpu
