0, 14, cpu
14, 1, switch to kernel mode
15, 20, context saved
35, 1, find vector 5 in memory position 0x000A
36, 1, load address 0X048B into the PC
37, 130, execute interrupt service routine
167, 1, execute interrupt return
168, 78, cpu
246, 211, end of I/O 5: interrupt
457, 1, switch to kernel mode
458, 20, context saved
478, 1, find vector 5 in memory position 0x000A
479, 1, load address 0X048B into the PC
480, 130, execute interrupt service routine
610, 1, execute interrupt return
611, 84, cpu
695, 1, switch to kernel mode
696, 20, context saved
716, 1, find vector 16 in memory position 0x0020
717, 1, load address 0X02DF into the PC
718, 130, execute interrupt service routine
848, 1, execute interrupt return
849, 70, cpu
919, 956, end of I/O 16: interrupt
1875, 1, switch to kernel mode
1876, 20, context saved
1896, 1, find vector 16 in memory position 0x0020
1897, 1, load address 0X02DF into the PC
1898, 130, execute interrupt service routine
2028, 1, execute interrupt return
2029, 35, cpu
2064, 1, switch to kernel mode
2065, 20, context saved
2085, 1, find vector 9 in memory position 0x0012
2086, 1, load address 0X036C into the PC
2087, 130, execute interrupt service routine
2217, 1, execute interrupt return
2218, 51, cpu
2269, 156, end of I/O 9: interrupt
2425, 1, switch to kernel mode
2426, 20, context saved
2446, 1, find vector 9 in memory position 0x0012
2447, 1, load address 0X036C into the PC
2448, 130, execute interrupt service routine
2578, 1, execute interrupt return
2579, 72, cpu
2651, 1, switch to kernel mode
2652, 20, context saved
2672, 1, find vector 2 in memory position 0x0004
2673, 1, load address 0X0695 into the PC
2674, 130, execute interrupt service routine
2804, 1, execute interrupt return
2805, 99, cpu
2904, 150, end of I/O 2: interrupt
3054, 1, switch to kernel mode
3055, 20, context saved
3075, 1, find vector 2 in memory position 0x0004
3076, 1, load address 0X0695 into the PC
3077, 130, execute interrupt service routine
3207, 1, execute interrupt return
3208, 69, cpu
3277, 1, switch to kernel mode
3278, 20, context saved
3298, 1, find vector 11 in memory position 0x0016
3299, 1, load address 0X01F8 into the PC
3300, 130, execute interrupt service routine
3430, 1, execute interrupt return
3431, 70, cpu
3501, 523, end of I/O 11: interrupt
4024, 1, switch to kernel mode
4025, 20, context saved
4045, 1, find vector 11 in memory position 0x0016
4046, 1, load address 0X01F8 into the PC
4047, 130, execute interrupt service routine
4177, 1, execute interrupt return
4178, 62, cpu
4240, 1, switch to kernel mode
4241, 20, context saved
4261, 1, find vector 19 in memory position 0x0026
4262, 1, load address 0X0765 into the PC
4263, 130, execute interrupt service routine
4393, 1, execute interrupt return
4394, 34, cpu
4428, 652, end of I/O 19: interrupt
5080, 1, switch to kernel mode
5081, 20, context saved
5101, 1, find vector 19 in memory position 0x0026
5102, 1, load address 0X0765 into the PC
5103, 130, execute interrupt service routine
5233, 1, execute interrupt return
5234, 85, cpu
5319, 1, switch to kernel mode
5320, 20, context saved
5340, 1, find vector 15 in memory position 0x001E
5341, 1, load address 0X0584 into the PC
5342, 130, execute interrupt service routine
5472, 1, execute interrupt return
5473, 73, cpu
5546, 68, end of I/O 15: interrupt
5614, 1, switch to kernel mode
5615, 20, context saved
5635, 1, find vector 15 in memory position 0x001E
5636, 1, load address 0X0584 into the PC
5637, 130, execute interrupt service routine
5767, 1, execute interrupt return
5768, 26, cpu
5794, 1, switch to kernel mode
5795, 20, context saved
