trace_1_10_110, 3470, 788, 10, 100, 10, 10, 1100, 10, 1442
trace_1_10_130, 3670, 788, 10, 100, 10, 10, 1300, 10, 1442
trace_1_10_160, 3970, 788, 10, 100, 10, 10, 1600, 10, 1442
trace_1_10_200, 4370, 788, 10, 100, 10, 10, 2000, 10, 1442
trace_1_10_40, 2770, 788, 10, 100, 10, 10, 400, 10, 1442
trace_1_10_70, 3070, 788, 10, 100, 10, 10, 700, 10, 1442
trace_1_20_110, 3570, 788, 10, 200, 10, 10, 1100, 10, 1442
trace_1_20_130, 3770, 788, 10, 200, 10, 10, 1300, 10, 1442
trace_1_20_160, 4070, 788, 10, 200, 10, 10, 1600, 10, 1442
trace_1_20_200, 4470, 788, 10, 200, 10, 10, 2000, 10, 1442
trace_1_20_40, 2870, 788, 10, 200, 10, 10, 400, 10, 1442
trace_1_20_70, 3170, 788, 10, 200, 10, 10, 700, 10, 1442
trace_1_30_110, 3670, 788, 10, 300, 10, 10, 1100, 10, 1442
trace_1_30_130, 3870, 788, 10, 300, 10, 10, 1300, 10, 1442
trace_1_30_160, 4170, 788, 10, 300, 10, 10, 1600, 10, 1442
trace_1_30_200, 4570, 788, 10, 300, 10, 10, 2000, 10, 1442
trace_1_30_40, 2970, 788, 10, 300, 10, 10, 400, 10, 1442
trace_1_30_70, 3270, 788, 10, 300, 10, 10, 700, 10, 1442
trace_2_10_110, 2114, 414, 6, 60, 6, 6, 660, 6, 956
trace_2_10_130, 2234, 414, 6, 60, 6, 6, 780, 6, 956
trace_2_10_160, 2414, 414, 6, 60, 6, 6, 960, 6, 956
trace_2_10_200, 2654, 414, 6, 60, 6, 6, 1200, 6, 956
trace_2_10_40, 1694, 414, 6, 60, 6, 6, 240, 6, 956
trace_2_10_70, 1874, 414, 6, 60, 6, 6, 420, 6, 956
trace_2_20_110, 2174, 414, 6, 120, 6, 6, 660, 6, 956
trace_2_20_130, 2294, 414, 6, 120, 6, 6, 780, 6, 956
trace_2_20_160, 2474, 414, 6, 120, 6, 6, 960, 6, 956
trace_2_20_200, 2714, 414, 6, 120, 6, 6, 1200, 6, 956
trace_2_20_40, 1754, 414, 6, 120, 6, 6, 240, 6, 956
trace_2_20_70, 1934, 414, 6, 120, 6, 6, 420, 6, 956
trace_2_30_110, 2234, 414, 6, 180, 6, 6, 660, 6, 956
trace_2_30_130, 2354, 414, 6, 180, 6, 6, 780, 6, 956
trace_2_30_160, 2534, 414, 6, 180, 6, 6, 960, 6, 956
trace_2_30_200, 2774, 414, 6, 180, 6, 6, 1200, 6, 956
trace_2_30_40, 1814, 414, 6, 180, 6, 6, 240, 6, 956
trace_2_30_70, 1994, 414, 6, 180, 6, 6, 420, 6, 956
trace_3_10_110, 23695, 3491, 66, 660, 66, 66, 7260, 66, 12020
trace_3_10_130, 25015, 3491, 66, 660, 66, 66, 8580, 66, 12020
trace_3_10_160, 26995, 3491, 66, 660, 66, 66, 10560, 66, 12020
trace_3_10_200, 29635, 3491, 66, 660, 66, 66, 13200, 66, 12020
trace_3_10_40, 19075, 3491, 66, 660, 66, 66, 2640, 66, 12020
trace_3_10_70, 21055, 3491, 66, 660, 66, 66, 4620, 66, 12020
trace_3_20_110, 24355, 3491, 66, 1320, 66, 66, 7260, 66, 12020
trace_3_20_130, 25675, 3491, 66, 1320, 66, 66, 8580, 66, 12020
trace_3_20_160, 27655, 3491, 66, 1320, 66, 66, 10560, 66, 12020
trace_3_20_200, 30295, 3491, 66, 1320, 66, 66, 13200, 66, 12020
trace_3_20_40, 19735, 3491, 66, 1320, 66, 66, 2640, 66, 12020
trace_3_20_70, 21715, 3491, 66, 1320, 66, 66, 4620, 66, 12020
trace_3_30_110, 25015, 3491, 66, 1980, 66, 66, 7260, 66, 12020
trace_3_30_130, 26335, 3491, 66, 1980, 66, 66, 8580, 66, 12020
trace_3_30_160, 28315, 3491, 66, 1980, 66, 66, 10560, 66, 12020
trace_3_30_200, 30955, 3491, 66, 1980, 66, 66, 13200, 66, 12020
trace_3_30_40, 20395, 3491, 66, 1980, 66, 66, 2640, 66, 12020
trace_3_30_70, 22375, 3491, 66, 1980, 66, 66, 4620, 66, 12020
trace_4_10_110, 24078, 3867, 68, 680, 68, 68, 7480, 68, 11779
trace_4_10_130, 25438, 3867, 68, 680, 68, 68, 8840, 68, 11779
trace_4_10_160, 27478, 3867, 68, 680, 68, 68, 10880, 68, 11779
trace_4_10_200, 30198, 3867, 68, 680, 68, 68, 13600, 68, 11779
trace_4_10_40, 19318, 3867, 68, 680, 68, 68, 2720, 68, 11779
trace_4_10_70, 21358, 3867, 68, 680, 68, 68, 4760, 68, 11779
trace_4_20_110, 24758, 3867, 68, 1360, 68, 68, 7480, 68, 11779
trace_4_20_130, 26118, 3867, 68, 1360, 68, 68, 8840, 68, 11779
trace_4_20_160, 28158, 3867, 68, 1360, 68, 68, 10880, 68, 11779
trace_4_20_200, 30878, 3867, 68, 1360, 68, 68, 13600, 68, 11779
trace_4_20_40, 19998, 3867, 68, 1360, 68, 68, 2720, 68, 11779
trace_4_20_70, 22038, 3867, 68, 1360, 68, 68, 4760, 68, 11779
trace_4_30_110, 25438, 3867, 68, 2040, 68, 68, 7480, 68, 11779
trace_4_30_130, 26798, 3867, 68, 2040, 68, 68, 8840, 68, 11779
trace_4_30_160, 28838, 3867, 68, 2040, 68, 68, 10880, 68, 11779
trace_4_30_200, 31558, 3867, 68, 2040, 68, 68, 13600, 68, 11779
trace_4_30_40, 20678, 3867, 68, 2040, 68, 68, 2720, 68, 11779
trace_4_30_70, 22718, 3867, 68, 2040, 68, 68, 4760, 68, 11779
trace_5_10_110, 26288, 3958, 72, 720, 72, 72, 7920, 72, 13402
trace_5_10_130, 27728, 3958, 72, 720, 72, 72, 9360, 72, 13402
trace_5_10_160, 29888, 3958, 72, 720, 72, 72, 11520, 72, 13402
trace_5_10_200, 32768, 3958, 72, 720, 72, 72, 14400, 72, 13402
trace_5_10_40, 21248, 3958, 72, 720, 72, 72, 2880, 72, 13402
trace_5_10_70, 23408, 3958, 72, 720, 72, 72, 5040, 72, 13402
trace_5_20_110, 27008, 3958, 72, 1440, 72, 72, 7920, 72, 13402
trace_5_20_130, 28448, 3958, 72, 1440, 72, 72, 9360, 72, 13402
trace_5_20_160, 30608, 3958, 72, 1440, 72, 72, 11520, 72, 13402
trace_5_20_200, 33488, 3958, 72, 1440, 72, 72, 14400, 72, 13402
trace_5_20_40, 21968, 3958, 72, 1440, 72, 72, 2880, 72, 13402
trace_5_20_70, 24128, 3958, 72, 1440, 72, 72, 5040, 72, 13402
trace_5_30_110, 27728, 3958, 72, 2160, 72, 72, 7920, 72, 13402
trace_5_30_130, 29168, 3958, 72, 2160, 72, 72, 9360, 72, 13402
trace_5_30_160, 31328, 3958, 72, 2160, 72, 72, 11520, 72, 13402
trace_5_30_200, 34208, 3958, 72, 2160, 72, 72, 14400, 72, 13402
trace_5_30_40, 22688, 3958, 72, 2160, 72, 72, 2880, 72, 13402
trace_5_30_70, 24848, 3958, 72, 2160, 72, 72, 5040, 72, 13402
