0, 95, cpu
95, 1, switch to kernel mode
96, 30, context saved
126, 1, find vector 6 in memory position 0x000C
127, 1, load address 0X0639 into the PC
128, 130, execute interrupt service routine
258, 1, execute interrupt return
259, 26, cpu
285, 265, end of I/O 6: interrupt
550, 1, switch to kernel mode
551, 30, context saved
581, 1, find vector 6 in memory position 0x000C
582, 1, load address 0X0639 into the PC
583, 130, execute interrupt service routine
713, 1, execute interrupt return
714, 72, cpu
786, 1, switch to kernel mode
787, 30, context saved
817, 1, find vector 17 in memory position 0x0022
818, 1, load address 0X05B3 into the PC
819, 130, execute interrupt service routine
949, 1, execute interrupt return
950, 50, cpu
1000, 235, end of I/O 17: interrupt
1235, 1, switch to kernel mode
1236, 30, context saved
1266, 1, find vector 17 in memory position 0x0022
1267, 1, load address 0X05B3 into the PC
1268, 130, execute interrupt service routine
1398, 1, execute interrupt return
1399, 88, cpu
1487, 1, switch to kernel mode
1488, 30, context saved
1518, 1, find vector 14 in memory position 0x001C
1519, 1, load address 0X0165 into the PC
1520, 130, execute interrupt service routine
1650, 1, execute interrupt return
1651, 31, cpu
1682, 456, end of I/O 14: interrupt
2138, 1, switch to kernel mode
2139, 30, context saved
2169, 1, find vector 14 in memory position 0x001C
2170, 1, load address 0X0165 into the PC
2171, 130, execute interrupt service routine
2301, 1, execute interrupt return
2302, 52, cpu
