0, 14, cpu
14, 1, switch to kernel mode
15, 10, context saved
25, 1, find vector 5 in memory position 0x000A
26, 1, load address 0X048B into the PC
27, 40, execute interrupt service routine
67, 1, execute interrupt return
68, 78, cpu
146, 211, end of I/O 5: interrupt
357, 1, switch to kernel mode
358, 10, context saved
368, 1, find vector 5 in memory position 0x000A
369, 1, load address 0X048B into the PC
370, 40, execute interrupt service routine
410, 1, execute interrupt return
411, 84, cpu
495, 1, switch to kernel mode
496, 10, context saved
506, 1, find vector 16 in memory position 0x0020
507, 1, load address 0X02DF into the PC
508, 40, execute interrupt service routine
548, 1, execute interrupt return
549, 70, cpu
619, 956, end of I/O 16: interrupt
1575, 1, switch to kernel mode
1576, 10, context saved
1586, 1, find vector 16 in memory position 0x0020
1587, 1, load address 0X02DF into the PC
1588, 40, execute interrupt service routine
1628, 1, execute interrupt return
1629, 35, cpu
1664, 1, switch to kernel mode
1665, 10, context saved
1675, 1, find vector 9 in memory position 0x0012
1676, 1, load address 0X036C into the PC
1677, 40, execute interrupt service routine
1717, 1, execute interrupt return
1718, 51, cpu
1769, 156, end of I/O 9: interrupt
1925, 1, switch to kernel mode
1926, 10, context saved
1936, 1, find vector 9 in memory position 0x0012
1937, 1, load address 0X036C into the PC
1938, 40, execute interrupt service routine
1978, 1, execute interrupt return
1979, 72, cpu
2051, 1, switch to kernel mode
2052, 10, context saved
2062, 1, find vector 2 in memory position 0x0004
2063, 1, load address 0X0695 into the PC
2064, 40, execute interrupt service routine
2104, 1, execute interrupt return
2105, 99, cpu
2204, 150, end of I/O 2: interrupt
2354, 1, switch to kernel mode
2355, 10, context saved
2365, 1, find vector 2 in memory position 0x0004
2366, 1, load address 0X0695 into the PC
2367, 40, execute interrupt service routine
2407, 1, execute interrupt return
2408, 69, cpu
2477, 1, switch to kernel mode
2478, 10, context saved
2488, 1, find vector 11 in memory position 0x0016
2489, 1, load address 0X01F8 into the PC
2490, 40, execute interrupt service routine
2530, 1, execute interrupt return
2531, 70, cpu
2601, 523, end of I/O 11: interrupt
3124, 1, switch to kernel mode
3125, 10, context saved
3135, 1, find vector 11 in memory position 0x0016
3136, 1, load address 0X01F8 into the PC
3137, 40, execute interrupt service routine
3177, 1, execute interrupt return
3178, 62, cpu
3240, 1, switch to kernel mode
3241, 10, context saved
3251, 1, find vector 19 in memory position 0x0026
3252, 1, load address 0X0765 into the PC
3253, 40, execute interrupt service routine
3293, 1, execute interrupt return
3294, 34, cpu
3328, 652, end of I/O 19: interrupt
3980, 1, switch to kernel mode
3981, 10, context saved
3991, 1, find vector 19 in memory position 0x0026
3992, 1, load address 0X0765 into the PC
3993, 40, execute interrupt service routine
4033, 1, execute interrupt return
4034, 85, cpu
4119, 1, switch to kernel mode
4120, 10, context saved
4130, 1, find vector 15 in memory position 0x001E
4131, 1, load address 0X0584 into the PC
4132, 40, execute interrupt service routine
4172, 1, execute interrupt return
4173, 73, cpu
4246, 68, end of I/O 15: interrupt
4314, 1, switch to kernel mode
4315, 10, context saved
4325, 1, find vector 15 in memory position 0x001E
4326, 1, load address 0X0584 into the PC
4327, 40, execute interrupt service routine
4367, 1, execute interrupt return
4368, 26, cpu
4394, 1, switch to kernel mode
4395, 10, context saved
