0, 86, cpu
86, 1, switch to kernel mode
87, 20, context saved
107, 1, find vector 9 in memory position 0x0012
108, 1, load address 0X036C into the PC
109, 160, execute interrupt service routine
269, 1, execute interrupt return
270, 61, cpu
331, 156, end of I/O 9: interrupt
487, 1, switch to kernel mode
488, 20, context saved
508, 1, find vector 9 in memory position 0x0012
509, 1, load address 0X036C into the PC
510, 160, execute interrupt service routine
670, 1, execute interrupt return
671, 27, cpu
698, 1, switch to kernel mode
699, 20, context saved
719, 1, find vector 17 in memory position 0x0022
720, 1, load address 0X05B3 into the PC
721, 160, execute interrupt service routine
881, 1, execute interrupt return
882, 19, cpu
901, 235, end of I/O 17: interrupt
1136, 1, switch to kernel mode
1137, 20, context saved
1157, 1, find vector 17 in memory position 0x0022
1158, 1, load address 0X05B3 into the PC
1159, 160, execute interrupt service routine
1319, 1, execute interrupt return
1320, 92, cpu
1412, 1, switch to kernel mode
1413, 20, context saved
1433, 1, find vector 8 in memory position 0x0010
1434, 1, load address 0X06EF into the PC
1435, 160, execute interrupt service routine
1595, 1, execute interrupt return
1596, 36, cpu
1632, 1000, end of I/O 8: interrupt
2632, 1, switch to kernel mode
2633, 20, context saved
2653, 1, find vector 8 in memory position 0x0010
2654, 1, load address 0X06EF into the PC
2655, 160, execute interrupt service routine
2815, 1, execute interrupt return
2816, 19, cpu
2835, 1, switch to kernel mode
2836, 20, context saved
2856, 1, find vector 1 in memory position 0x0002
2857, 1, load address 0X029C into the PC
2858, 160, execute interrupt service routine
3018, 1, execute interrupt return
3019, 33, cpu
3052, 100, end of I/O 1: interrupt
3152, 1, switch to kernel mode
3153, 20, context saved
3173, 1, find vector 1 in memory position 0x0002
3174, 1, load address 0X029C into the PC
3175, 160, execute interrupt service routine
3335, 1, execute interrupt return
3336, 90, cpu
3426, 1, switch to kernel mode
3427, 20, context saved
3447, 1, find vector 20 in memory position 0x0028
3448, 1, load address 0X07B7 into the PC
3449, 160, execute interrupt service routine
3609, 1, execute interrupt return
3610, 13, cpu
3623, 0, end of I/O 20: interrupt
3623, 1, switch to kernel mode
3624, 20, context saved
3644, 1, find vector 20 in memory position 0x0028
3645, 1, load address 0X07B7 into the PC
3646, 160, execute interrupt service routine
3806, 1, execute interrupt return
3807, 12, cpu
3819, 1, switch to kernel mode
3820, 20, context saved
3840, 1, find vector 13 in memory position 0x001A
3841, 1, load address 0X06C7 into the PC
3842, 160, execute interrupt service routine
4002, 1, execute interrupt return
4003, 23, cpu
4026, 636, end of I/O 13: interrupt
4662, 1, switch to kernel mode
4663, 20, context saved
4683, 1, find vector 13 in memory position 0x001A
4684, 1, load address 0X06C7 into the PC
4685, 160, execute interrupt service routine
4845, 1, execute interrupt return
4846, 51, cpu
4897, 1, switch to kernel mode
4898, 20, context saved
4918, 1, find vector 10 in memory position 0x0014
4919, 1, load address 0X07B0 into the PC
4920, 160, execute interrupt service routine
5080, 1, execute interrupt return
5081, 49, cpu
5130, 564, end of I/O 10: interrupt
5694, 1, switch to kernel mode
5695, 20, context saved
5715, 1, find vector 10 in memory position 0x0014
5716, 1, load address 0X07B0 into the PC
5717, 160, execute interrupt service routine
5877, 1, execute interrupt return
5878, 87, cpu
